age,date,gender,country,selfemployed,familyhistory,treatment,workinterfere,remotework,techcompany,benefits,careoptions,wellnessprogram,seekhelp,anonymity,leave,mentalhealthconsequence,physhealthconsequence,coworkers,supervisor,mentalhealthinterview,physhealthinterview,mentalvsphysical,obsconsequence
31,2013,Male,United Kingdom,Yes,No,Yes,Often,No,Yes,Unsure,No,No,No,Unsure,Unsure,Maybe,No,Some of them,Yes,No,Maybe,Unsure,No
22,2013,Male,India,No,No,Yes,Never,No,Yes,Unsure,Unsure,No,No,Unsure,Very difficult,Yes,Maybe,No,No,Maybe,Maybe,No,No
23,2013,Female,United States,No,No,No,No,No,Yes,Unsure,No,No,Unsure,Unsure,Unsure,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
34,2013,Female,Canada,No,Yes,Yes,Sometimes,No,No,Yes,Yes,Yes,No,Unsure,Somewhat easy,No,No,Some of them,Yes,No,No,No,No
31,2013,Male,United States,No,No,No,Never,No,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,Maybe,No,No,Some,No,Maybe,Unsure,No
28,2013,Male,United Kingdom,No,No,No,No,No,No,No,Unsure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Some,Maybe,Maybe,Yes,No
32,2013,Female,United States,No,No,Yes,Often,Yes,Yes,Yes,Unsure,Unsure,Unsure,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes
45,2013,Female,United States,No,No,Yes,Sometimes,No,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No
33,2013,Male,United States,No,No,No,No,Yes,Yes,Unsure,No,No,No,Unsure,Very easy,No,No,Yes,Yes,No,Maybe,Unsure,No
29,2013,Male,Mexico,No,No,No,Never,Yes,Yes,No,No,No,No,No,Unsure,Maybe,Maybe,No,Yes,Maybe,Yes,No,No
26,2013,Female,India,Yes,No,No,Sometimes,No,No,No,No,No,No,Unsure,Somewhat easy,Maybe,Maybe,Some of them,Some,No,No,Unsure,No
28,2013,Female,United Kingdom,No,No,No,Never,No,Yes,Unsure,No,No,Unsure,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Unsure,No
45,2013,Male,United States,No,No,Yes,Sometimes,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Yes,Yes,Some of them,Some,No,No,Unsure,No
43,2013,Male,United States,No,Yes,Yes,Often,Yes,Yes,Yes,Unsure,No,Unsure,Unsure,Very difficult,Yes,Maybe,No,No,No,No,No,No
37,2013,Male,United States,No,No,No,No,Yes,Yes,Yes,No,No,No,Unsure,Unsure,Yes,No,Some of them,No,Maybe,Yes,No,No
24,2013,Male,United Kingdom,No,No,No,Sometimes,No,Yes,Unsure,No,No,Unsure,Unsure,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,No
26,2013,Male,France,No,No,No,No,Yes,Yes,No,Yes,No,No,Unsure,Somewhat easy,No,No,Some of them,No,No,Maybe,Yes,No
23,2013,Male,United Kingdom,No,Yes,No,No,Yes,Yes,Unsure,No,No,No,Unsure,Unsure,No,No,Some of them,Yes,Maybe,Yes,Unsure,No
35,2013,Female,United States,No,Yes,Yes,Never,No,Yes,Yes,Unsure,Unsure,No,Yes,Somewhat easy,Maybe,No,No,No,No,No,Unsure,No
38,2013,Female,South Africa,Yes,Yes,Yes,Often,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some,No,Maybe,Unsure,Yes
28,2013,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,No,Unsure,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,No,No
28,2013,Male,Russia,No,No,No,Sometimes,No,Yes,No,No,No,No,Unsure,Unsure,Yes,Maybe,No,No,No,Maybe,Unsure,No
35,2013,Male,United States,No,No,Yes,Rarely,No,Yes,No,No,No,No,Yes,Unsure,No,No,Some of them,Yes,No,No,Unsure,No
32,2013,Female,Germany,No,No,No,Sometimes,No,Yes,No,No,No,No,Unsure,Very difficult,Yes,Yes,Some of them,No,No,No,No,Yes
31,2013,Male,Italy,Yes,Yes,No,Never,No,Yes,No,No,No,No,Unsure,Somewhat easy,Maybe,Maybe,Some of them,Some,No,Maybe,Unsure,No
35,2013,Female,United States,No,No,No,Never,Yes,Yes,Unsure,Unsure,No,No,Unsure,Unsure,Maybe,Maybe,Some of them,No,No,No,Unsure,No
26,2013,Male,United States,No,No,No,Rarely,No,Yes,Yes,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No
27,2013,Male,United States,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Unsure,Somewhat easy,Maybe,Maybe,Some of them,Some,No,Maybe,Yes,No
28,2013,Male,United Kingdom,No,Yes,Yes,Sometimes,No,Yes,Unsure,No,No,No,Unsure,Unsure,Maybe,Maybe,Some of them,No,No,Maybe,Unsure,No
27,2013,Female,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,No,Unsure,Very easy,No,No,Some of them,Some,No,No,Yes,No
34,2013,Female,United States,No,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No
41,2013,Male,United States,No,No,Yes,Often,Yes,Yes,No,Unsure,No,No,Unsure,Very difficult,Maybe,Maybe,Some of them,Some,Maybe,Maybe,Unsure,No
37,2013,Male,Ireland,No,No,No,Sometimes,No,Yes,No,Yes,No,No,Unsure,Very difficult,Yes,No,No,No,No,Yes,Unsure,No
34,2013,Male,Austria,No,Yes,No,No,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,Very easy,No,No,Yes,Yes,No,No,Yes,No
32,2013,Male,United Kingdom,No,Yes,Yes,Sometimes,Yes,Yes,Unsure,Unsure,No,No,Unsure,Somewhat difficult,Yes,Maybe,No,No,No,No,No,Yes
21,2013,Male,Canada,No,No,Yes,Sometimes,Yes,Yes,No,Yes,No,No,Unsure,Somewhat difficult,No,No,Some of them,Some,Maybe,Maybe,Yes,No
30,2013,Male,United States,No,No,Yes,Often,No,Yes,No,Yes,No,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe,Unsure,No
24,2013,Male,United States,No,No,No,Never,No,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,No,No,Some of them,Yes,No,No,Unsure,No
26,2013,Male,Bulgaria,No,No,No,No,No,Yes,No,No,No,No,No,Very easy,Yes,Maybe,No,No,No,Maybe,Unsure,No
40,2013,Female,United States,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
37,2013,Male,United Kingdom,No,Yes,No,Sometimes,No,No,No,No,No,No,Unsure,Unsure,Yes,Maybe,Some of them,Yes,No,Maybe,Unsure,No
26,2013,Male,United Kingdom,Yes,No,Yes,Often,Yes,Yes,No,No,No,No,Unsure,Unsure,Yes,No,No,No,No,Maybe,Unsure,No
32,2013,Female,United States,No,Yes,Yes,Sometimes,No,Yes,Unsure,No,No,No,No,Unsure,Yes,Maybe,Some of them,Some,No,Maybe,No,Yes
32,2013,Female,United States,No,No,Yes,Sometimes,No,No,Yes,Yes,Unsure,Unsure,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,No
27,2013,Female,United States,Yes,Yes,Yes,Sometimes,Yes,Yes,No,No,Unsure,Unsure,Unsure,Very difficult,No,No,Some of them,No,No,No,Unsure,No
30,2013,Male,Germany,Yes,No,Yes,Often,Yes,Yes,Yes,Yes,No,No,Yes,Very difficult,No,No,Some of them,Yes,Maybe,Yes,Yes,No
31,2013,Male,Canada,Yes,No,No,No,No,Yes,Yes,Yes,No,Unsure,Yes,Very easy,No,No,Some of them,Some,No,No,Yes,No
29,2013,Female,United States,No,No,Yes,Never,No,No,Yes,No,No,Unsure,Unsure,Somewhat difficult,Maybe,No,Some of them,No,No,No,Unsure,No
41,2013,Male,United States,No,No,No,No,No,Yes,Yes,Unsure,No,No,Unsure,Very easy,Yes,No,No,Some,No,No,Unsure,No
34,2014,Female,United States,No,No,No,No,No,Yes,Yes,No,No,No,Unsure,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
33,2014,Male,United Kingdom,No,No,No,No,No,Yes,Unsure,No,No,No,Unsure,Unsure,No,No,Yes,Yes,Yes,Yes,Unsure,No
28,2014,Male,United States,No,No,No,Rarely,No,Yes,Unsure,No,No,No,Unsure,Unsure,No,No,Some of them,Some,No,Maybe,Unsure,No
28,2014,Male,United States,No,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Yes,Very difficult,Yes,No,No,Some,No,No,No,No
23,2014,Male,United States,No,No,No,Never,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,No,No,No,Yes,No,Yes,Yes,No
24,2014,Male,United States,No,No,No,No,No,Yes,Unsure,No,Unsure,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
32,2014,Male,United States,No,No,No,Rarely,Yes,Yes,No,Yes,No,No,Unsure,Very difficult,No,No,Some of them,Yes,No,Maybe,Yes,No
34,2014,Male,Australia,Yes,No,No,Sometimes,Yes,Yes,Unsure,Unsure,Yes,Yes,Unsure,Somewhat difficult,Yes,Yes,No,No,No,Maybe,Yes,No
24,2014,Male,United States,No,No,No,Never,No,Yes,Yes,Unsure,No,Unsure,Unsure,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,Yes,No
26,2014,Male,United Kingdom,Yes,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Unsure,Unsure,Maybe,No,Some of them,Some,No,Maybe,Yes,No
36,2014,Male,United States,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Yes,Unsure,Unsure,Maybe,No,Some of them,Some,No,Maybe,Unsure,Yes
41,2014,Male,United States,No,No,Yes,Rarely,Yes,Yes,Yes,Yes,No,Unsure,Unsure,Unsure,Maybe,Maybe,Some of them,No,Maybe,Maybe,No,No
38,2014,Male,United Kingdom,No,No,Yes,Sometimes,No,No,Unsure,Unsure,Unsure,Unsure,Unsure,Very difficult,Yes,No,No,No,No,Maybe,No,No
38,2014,Male,United States,No,No,No,Sometimes,Yes,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,Maybe,Maybe,Some of them,Yes,No,Maybe,No,No
30,2014,Male,Netherlands,No,No,No,No,No,Yes,Unsure,No,Unsure,Unsure,Yes,Somewhat easy,No,No,Some of them,Some,No,No,Yes,No
25,2014,Male,United Kingdom,No,No,No,Never,No,Yes,No,No,No,No,Unsure,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,No,No
37,2014,Male,Canada,No,Yes,Yes,Often,No,Yes,Yes,Yes,No,Unsure,Unsure,Unsure,Maybe,No,Some of them,Some,No,Yes,Unsure,No
34,2014,Male,United Kingdom,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Yes,No,Yes,No,Yes
37,2014,Female,United States,No,Yes,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some,No,Maybe,Yes,No
28,2014,Female,Canada,No,Yes,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Yes,Unsure,No,No,Some of them,Yes,No,No,No,Yes
22,2014,Male,Sweden,No,No,No,No,No,Yes,Unsure,No,No,No,Unsure,Unsure,No,No,Some of them,Yes,Maybe,Maybe,No,No
34,2014,Male,United States,No,Yes,Yes,Sometimes,No,Yes,No,No,No,No,Unsure,Somewhat difficult,Maybe,No,Some of them,Some,No,Maybe,No,Yes
33,2014,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Unsure,No
25,2014,Male,South Africa,No,No,No,No,No,Yes,No,No,No,No,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Yes,No,No
27,2014,Male,United States,No,No,No,Never,Yes,Yes,Yes,Yes,Unsure,Unsure,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
40,2014,Male,United States,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Yes,Maybe,No,No,No,Maybe,No,Yes
21,2014,Male,United States,No,No,Yes,Often,No,No,Unsure,No,No,Unsure,Unsure,Unsure,Maybe,No,No,No,No,Maybe,Unsure,No
29,2014,Male,United Kingdom,No,No,No,No,No,No,No,No,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
32,2014,Male,United States,No,Yes,Yes,Sometimes,Yes,Yes,No,No,No,No,Unsure,Unsure,Maybe,No,Yes,Yes,No,Yes,Unsure,No
29,2014,Female,United States,No,Yes,Yes,Rarely,Yes,No,Yes,Yes,Yes,Unsure,Yes,Unsure,Maybe,No,Some of them,No,Maybe,Yes,Unsure,No
23,2014,Male,United States,No,Yes,Yes,Sometimes,Yes,No,Unsure,No,No,Unsure,Yes,Somewhat easy,Maybe,No,Some of them,Some,No,Yes,Yes,No
28,2014,Male,United States,No,Yes,No,No,No,Yes,Yes,No,No,Unsure,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,Yes
31,2014,Male,United States,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Unsure,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No
27,2014,Male,United Kingdom,No,No,No,No,No,No,Unsure,Unsure,Unsure,Unsure,No,Very easy,Maybe,Maybe,Yes,Yes,No,No,Unsure,No
24,2014,Male,United States,No,No,No,Sometimes,No,Yes,Unsure,No,Unsure,Unsure,Unsure,Unsure,No,No,Yes,Yes,Maybe,Maybe,Unsure,No
29,2014,Male,Canada,No,No,No,Often,No,Yes,No,No,No,No,Unsure,Somewhat difficult,Yes,No,No,No,No,Maybe,Unsure,No
23,2014,Female,United Kingdom,No,No,Yes,Sometimes,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Maybe,Maybe,Some of them,Some,No,Maybe,Yes,No
42,2014,Male,United States,No,No,No,Never,Yes,Yes,No,Yes,No,Yes,Unsure,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
24,2014,Male,United Kingdom,No,No,No,No,No,Yes,No,No,No,No,Unsure,Unsure,Yes,No,Some of them,Some,No,Yes,No,No
25,2014,Male,Australia,No,Yes,Yes,Often,No,Yes,No,Yes,No,No,No,Very difficult,Yes,Maybe,No,No,No,Yes,No,Yes
27,2014,Female,United States,No,No,Yes,Rarely,No,Yes,Yes,No,No,No,Yes,Unsure,Maybe,Maybe,Yes,No,No,Maybe,Unsure,No
27,2014,Male,Canada,No,No,No,Sometimes,Yes,Yes,No,Yes,No,No,No,Very difficult,Yes,Yes,Some of them,Some,No,Maybe,No,No
30,2014,Male,United States,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Yes,Unsure,No,No,Yes,Yes,Maybe,No,Yes,No
29,2014,Male,Poland,No,Yes,Yes,Rarely,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,Some,No,Yes,No,No
43,2014,Male,Canada,Yes,No,No,No,Yes,Yes,No,Unsure,No,No,Unsure,Somewhat easy,Maybe,No,Yes,Yes,Yes,Yes,Unsure,No
32,2014,Male,United States,No,No,No,No,No,Yes,No,Yes,No,Unsure,Unsure,Very easy,No,No,Some of them,Yes,No,Maybe,Unsure,No
41,2014,Male,United States,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Unsure,No,Unsure,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
32,2014,Male,United Kingdom,Yes,Yes,Yes,Sometimes,Yes,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Very easy,Maybe,Maybe,Yes,Some,Maybe,Maybe,Unsure,Yes
37,2014,Female,United States,No,Yes,Yes,Often,No,Yes,Yes,Yes,No,No,Yes,Unsure,Maybe,No,Some of them,Some,No,Yes,Unsure,No
32,2014,Male,United States,No,No,No,Never,Yes,Yes,No,No,No,No,Unsure,Very easy,No,No,Yes,Yes,No,No,Unsure,No
30,2014,Male,Ireland,Yes,No,No,Sometimes,Yes,Yes,No,No,No,No,Unsure,Somewhat difficult,No,No,Some of them,Some,No,Maybe,No,No
23,2014,Female,United States,No,Yes,Yes,Never,No,No,Yes,No,Unsure,Unsure,Yes,Unsure,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
30,2014,Male,United States,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No
34,2014,Male,United Kingdom,No,No,No,Sometimes,No,Yes,No,Yes,No,No,Unsure,Somewhat easy,Maybe,Maybe,Yes,Some,No,No,Unsure,No
38,2014,Male,United States,No,No,Yes,Rarely,Yes,Yes,Yes,No,No,No,Unsure,Unsure,Yes,No,No,No,No,Maybe,No,No
33,2014,Male,Canada,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Unsure,No,No,Some of them,Yes,No,No,Unsure,No
34,2014,Male,United States,No,No,No,No,No,No,Yes,No,No,No,Unsure,Unsure,Maybe,No,Some of them,No,No,No,Unsure,No
28,2014,Male,Colombia,No,No,No,Sometimes,No,Yes,No,Yes,No,No,Unsure,Somewhat easy,Maybe,Maybe,No,Some,No,No,Unsure,No
28,2014,Male,United States,No,No,Yes,Rarely,No,No,Yes,Yes,Yes,Unsure,Unsure,Very easy,Maybe,No,Some of them,Some,No,No,Yes,No
23,2014,Male,United States,No,Yes,No,Sometimes,No,Yes,Unsure,No,No,Unsure,Unsure,Unsure,Maybe,No,Some of them,No,No,Maybe,No,No
22,2014,Male,Australia,Yes,Yes,Yes,Sometimes,Yes,Yes,Unsure,Unsure,Yes,Yes,Unsure,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,No,Yes
27,2014,Male,Portugal,No,No,No,Never,No,Yes,No,No,No,No,Yes,Unsure,Yes,No,No,No,No,Maybe,Unsure,No
18,2014,Male,United States,No,No,Yes,Sometimes,No,Yes,Unsure,No,No,Unsure,Unsure,Unsure,Yes,No,No,No,No,Maybe,Unsure,No
35,2014,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,No,Some,No,Maybe,Unsure,No
25,2014,Male,Canada,No,No,No,No,No,No,Unsure,Unsure,No,No,Unsure,Unsure,No,No,Some of them,Some,No,Yes,No,No
27,2014,Male,United Kingdom,No,Yes,Yes,Sometimes,No,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No
26,2014,Female,United States,No,Yes,Yes,Rarely,No,Yes,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Maybe,No,Some of them,Some,No,No,Unsure,No
18,2014,Male,United States,No,No,No,Never,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Very easy,No,No,Some of them,Some,No,Maybe,Yes,No
38,2014,Female,United States,No,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Unsure,Unsure,No,Maybe,Some of them,No,No,No,Unsure,Yes
26,2014,Female,United States,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Unsure,Unsure,Somewhat easy,Maybe,No,Some of them,No,No,No,Unsure,No
30,2014,Male,Switzerland,Yes,No,No,Never,No,Yes,No,No,No,No,No,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
35,2014,Male,United States,No,No,No,Never,No,Yes,Unsure,No,No,Unsure,Unsure,Unsure,Yes,Maybe,Some of them,Some,No,No,Unsure,No
45,2014,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Unsure,Unsure,Yes,Unsure,Maybe,No,Some of them,Some,No,Maybe,Unsure,No
32,2014,Male,United States,No,No,No,Never,No,Yes,Yes,No,No,Unsure,Unsure,Unsure,Maybe,No,Some of them,Some,No,No,Unsure,No
56,2014,Male,United States,No,No,Yes,Never,No,Yes,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,No,Maybe,Yes,Some,No,Maybe,Unsure,No
24,2014,Female,United States,No,No,No,No,No,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,Maybe,Maybe,Some of them,No,No,Maybe,No,No
30,2014,Female,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Unsure,Unsure,Very easy,No,No,Yes,Yes,No,Yes,Yes,No
60,2014,Male,United States,No,No,No,No,No,Yes,Yes,No,Unsure,Yes,Unsure,Unsure,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
33,2014,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,Unsure,Unsure,Yes,No,No,No,No,Maybe,Unsure,No
37,2014,Male,United States,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Unsure,Unsure,No,No,Some of them,Yes,Maybe,Maybe,Unsure,No
23,2014,Female,United States,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Unsure,Unsure,No,No,Some of them,Some,No,No,Yes,No
31,2014,Female,United States,No,No,Yes,Sometimes,No,Yes,Yes,Unsure,Unsure,Unsure,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
26,2014,Male,United States,No,No,No,Rarely,No,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,No,No,Some of them,Yes,No,Maybe,Unsure,No
28,2014,Female,United States,No,Yes,Yes,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,Some of them,Yes,No,No,Yes,No
37,2014,Female,United States,No,No,Yes,Rarely,No,Yes,Yes,Yes,Unsure,Yes,Unsure,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
26,2014,Male,Canada,No,Yes,Yes,Often,No,Yes,Yes,No,No,Unsure,Unsure,Unsure,Maybe,No,Some of them,Some,Maybe,Maybe,Yes,No
30,2014,Other,United States,No,Yes,Yes,Rarely,No,Yes,Yes,Unsure,No,No,Unsure,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Unsure,No
26,2014,Male,United States,No,No,No,No,No,Yes,No,No,No,No,Unsure,Unsure,No,No,Some of them,Some,No,No,Unsure,Yes
25,2014,Male,United States,No,No,No,No,Yes,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,No,No,Some of them,Yes,No,No,Unsure,No
27,2014,Male,United States,No,No,No,Sometimes,No,Yes,Yes,Unsure,Yes,Yes,Unsure,Unsure,Maybe,No,Some of them,Yes,No,Maybe,Unsure,No
25,2014,Male,Canada,No,No,Yes,Often,Yes,No,Unsure,No,No,Unsure,Unsure,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,Unsure,No
35,2014,Male,United States,No,No,Yes,Rarely,No,Yes,Yes,Unsure,Unsure,Yes,Unsure,Unsure,No,No,Some of them,Yes,No,No,Unsure,No
36,2014,Male,United States,Yes,No,Yes,Never,No,Yes,No,Yes,No,No,Unsure,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No
26,2014,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,Yes,No,No,No,No,No,No,No
27,2014,Male,United States,No,Yes,No,No,No,Yes,Unsure,No,Unsure,Unsure,Unsure,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
30,2014,Male,United States,No,No,No,No,No,No,Unsure,Unsure,No,Unsure,Unsure,Unsure,Maybe,Maybe,Some of them,Some,No,No,Unsure,No
29,2014,Male,United States,No,No,No,No,No,No,Unsure,Unsure,No,Unsure,Unsure,Unsure,Maybe,No,No,No,No,Maybe,Unsure,No
25,2014,Male,United States,No,No,No,Never,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
22,2014,Female,United States,No,Yes,Yes,Often,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Some,No,No,Yes,Yes
29,2014,Male,Latvia,No,No,No,No,No,Yes,No,Yes,No,No,Unsure,Somewhat easy,Maybe,Maybe,Some of them,Some,No,No,Unsure,No
41,2014,Male,United States,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Unsure,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
29,2014,Male,United States,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Unsure,Unsure,Unsure,Yes,No,Some of them,Some,No,Maybe,No,No
32,2014,Male,United States,No,No,No,Never,No,Yes,Yes,Unsure,Unsure,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
24,2014,Female,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,Yes,Yes,Unsure,Maybe,No,Some of them,No,No,Maybe,Unsure,No
25,2014,Male,United States,No,No,Yes,Rarely,No,Yes,Yes,No,Unsure,No,Unsure,Unsure,Maybe,No,No,No,No,No,Unsure,No
25,2014,Male,United States,No,No,No,No,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Maybe,No,No,No,No,Maybe,Unsure,No
30,2015,Female,United States,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,Some,No,No,Unsure,No
25,2015,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Unsure,Unsure,Unsure,Yes,Unsure,Unsure,No,No,Yes,Yes,No,No,Yes,No
30,2015,Male,United States,Yes,No,No,Never,Yes,Yes,No,Yes,No,No,Unsure,Unsure,Maybe,No,Some of them,Some,No,Maybe,Unsure,No
33,2015,Male,Germany,Yes,Yes,Yes,Rarely,No,No,No,No,No,No,Unsure,Somewhat difficult,Yes,Yes,No,No,Maybe,No,Yes,Yes
24,2015,Male,United States,No,No,No,No,No,Yes,Yes,Unsure,Yes,Yes,Yes,Very easy,No,No,Some of them,Some,No,Maybe,Yes,No
25,2015,Male,Canada,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,Unsure,Unsure,Unsure,Yes,Maybe,Some of them,No,No,No,No,No
31,2015,Male,United States,No,No,No,No,No,No,Unsure,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,No,No
45,2015,Male,Ireland,Yes,No,Yes,Often,No,Yes,No,No,No,No,Unsure,Very difficult,No,No,No,No,No,No,Unsure,No
29,2015,Male,Romania,No,No,No,No,Yes,No,No,Yes,No,No,Unsure,Unsure,Maybe,Maybe,Some of them,Some,Maybe,Maybe,No,No
46,2015,Male,United States,No,No,No,Never,No,Yes,Yes,Unsure,Yes,Unsure,Unsure,Very easy,No,No,Some of them,Some,Maybe,Maybe,Unsure,No
30,2015,Male,United Kingdom,No,No,Yes,Sometimes,No,Yes,Unsure,No,No,Unsure,Unsure,Unsure,Yes,Maybe,No,No,No,Maybe,Unsure,No
29,2015,Female,United States,Yes,No,No,Sometimes,No,Yes,Yes,Unsure,Unsure,No,Unsure,Very easy,Maybe,Maybe,Some of them,Some,No,No,Unsure,No
24,2015,Male,United States,No,No,No,No,No,Yes,Yes,Yes,Unsure,Unsure,Yes,Unsure,Yes,No,No,No,No,Maybe,Unsure,No
29,2015,Male,United States,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No
35,2015,Male,United States,No,No,No,No,No,No,Unsure,Unsure,No,Unsure,Unsure,Unsure,No,No,Yes,Yes,No,No,No,No
33,2015,Female,United States,No,Yes,No,Sometimes,Yes,Yes,No,Yes,No,No,Unsure,Very difficult,Yes,Maybe,Some of them,Some,No,Maybe,No,No
27,2015,Male,United States,No,No,No,Sometimes,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Very easy,Yes,No,No,No,No,Maybe,No,No
